field1,field2,field3,field4,field5,field6,class
21.18,20.36,17.65,14.59,11.01,9.23,move_in
16.69,15.8,12.21,9.48,7.79,6.06,move_in
19.92,19.9,19.21,17.88,16.21,14.71,move_in
16.74,16.26,15.21,12.36,10.21,7.86,move_in
21.76,20.21,20.21,18.63,18.06,17.3,move_in
22.28,21.01,19.14,17.55,16.63,16.23,move_in
23.23,21.84,20.21,17.96,16.63,16,move_in
23.42,20.02,16.74,10.8,7.55,5.71,move_in
17.53,15.89,10.41,5.22,3.68,3.44,move_in
17.8,17.1,12.13,7.46,5.3,3.86,move_in
14.31,12.94,9.95,7.67,5.77,4.47,move_in
17.08,13.8,11.89,9.92,7.73,6.84,move_in
20.88,15.45,13.22,10,9.71,7.89,move_in
19.77,18.75,14.34,12.22,10.67,10.01,move_in
20.06,19.56,19.01,17.67,17.22,16.23,move_in
6.76,6.77,6.7,6.56,6.44,6.7,move_still
8.77,8.5,8.45,8.34,8.23,8.76,move_still
9.23,9.78,9.68,9.76,10.07,9.79,move_still
5.09,4.64,5.16,4.68,4.7,5.09,move_still
16.19,16.38,16.16,16.19,16.17,16.23,move_still
3.54,2.99,3.23,3.11,3.51,2.89,move_still
2.67,2.7,2.71,2.74,2.73,2.72,move_still
5.41,5.35,5.83,6.21,6.32,6.25,move_still
12.78,12.74,12.8,12.76,12.77,12.79,move_still
16.44,16.85,16.94,16.38,16.4,16.42,move_still
9.7,9.69,9.7,9.69,9.71,9.7,move_still
13.44,12.9,13.2,13.12,13.56,13.44,move_still
17.01,17.32,17.34,17.22,17.86,17.16,move_still
3.69,6.08,9.18,13.54,15.95,17.16,move_out
4.84,6.23,9.54,15.11,16.17,17.72,move_out
5.98,7.11,9.71,14.25,15.22,22.01,move_out
6.23,7.42,11.07,13.3,14.29,15.39,move_out
4.38,4.7,6.41,6.65,9.5,13.36,move_out
5.89,8.22,16.03,17.83,18.73,20.06,move_out
3.89,4.03,5.35,7.47,9.75,13.69,move_out
5.62,7.59,10.08,11.32,13.44,15.31,move_out
4.78,5.67,7.08,8.32,10.57,11.23,move_out
7.83,11.06,14.45,15.48,17.58,19.05,move_out
8.58,9.69,15,15.18,15.86,16.64,move_out
4.76,5.12,9.57,16.14,16.22,16.28,move_out
5.98,6.94,8.44,11.44,14.47,16.64,move_out
3.48,3.83,6.69,8.58,10.57,15.14,move_out
4.8,5.77,10.47,14.65,16.34,18.38,move_out
3.54,3.7,9.04,11.02,11.98,14.41,move_out
